avg degree: 8.97, wc cost, ed cost, bf cost, wc time, ed time, bf time,,,,,
12.txt,9848487,2504519,9848487,102.264002,32.418253,98.84144,45360,191520,59808,45360,191520
5.txt,1243532,4562632,1016028,17.848161,63.4795,15.780843,10080,30660,59808,10080,18600
2.txt,96545,818768,52930,6.183047,9.92813,6.44988,99,285,59808,99,285
3.txt,89089422,28606355,87870913,14580.53809,526.527444,9708.072915,3983616,22154880,1904520,3983616,22154880
14.txt,36651255,5289622,37429223,3264.229648,116.39325,4151.57615,2441880,13716000,2471040,1235520,11634480
13.txt,19703191,4298315,19703191,184.937598,57.668143,173.292865,60480,302400,2471040,60480,302400
4.txt,288,601,249,5.851446,0.434885,6.082573,3,25,2471040,3,25
10.txt,4416695,3559934,3920910,63.338088,81.927113,58.531198,145152,924504,2471040,145152,924504
7.txt,34158,64111,18814,7.846378,1.305037,8.056028,15,104,2471040,15,104
0.txt,7705613,4363129,12490699,89.032016,71.476712,2711.456905,213188,394680,2471040,1364076,1545568
9.txt,90023825,15208502,90008144,14187.66471,2360.742688,10586.31065,2488320,20945160,2612736,2488320,20945160
8.txt,251,1551,249,3.777413,0.448419,4.115614,8,36,2612736,8,36
1.txt,6391566,2247150,6391566,32.648888,16.743223,32.822943,3192,9576,2612736,3192,9576
11.txt,3493,28727,1678,6.841354,0.828754,7.531923,48,244,2612736,24,155
6.txt,704970,1822284,704970,9.637231,23.993484,10.080416,100800,218100,2612736,100800,218100
,,,,2170.842538,224.287669,1838.600156,,,,,